,PLAYER_ID,PLAYER_NAME,STARTER_GAMES,BENCH_GAMES,TOTAL_GAMES,PERCENT_STARTS,STARTER
261,203077,Michael Kidd-Gilchrist,52.0,3.0,55.0,0.9454545454545454,YES
262,201144,Mike Conley,70.0,0.0,70.0,1.0,YES
263,2399,Mike Dunleavy,63.0,0.0,63.0,1.0,YES
264,2034,Mike Miller,15.0,37.0,52.0,0.28846153846153844,IN_BETWEEN
265,203488,Mike Muscala,8.0,32.0,40.0,0.2,IN_BETWEEN
266,203101,Miles Plumlee,28.0,45.0,73.0,0.3835616438356164,IN_BETWEEN
267,203141,Mirza Teletovic,4.0,36.0,40.0,0.1,NO
268,203956,Mitch McGary,2.0,30.0,32.0,0.0625,NO
269,2590,Mo Williams,33.0,35.0,68.0,0.4852941176470588,IN_BETWEEN
270,101145,Monta Ellis,80.0,0.0,80.0,1.0,YES
271,101126,Nate Robinson,1.0,41.0,42.0,0.023809523809523808,NO
272,2403,Nene,58.0,9.0,67.0,0.8656716417910447,YES
273,203457,Nerlens Noel,71.0,4.0,75.0,0.9466666666666667,YES
274,2555,Nick Collison,2.0,64.0,66.0,0.030303030303030304,NO
275,201587,Nicolas Batum,71.0,0.0,71.0,1.0,YES
276,203917,Nik Stauskas,1.0,72.0,73.0,0.0136986301369863,NO
277,202703,Nikola Mirotic,3.0,79.0,82.0,0.036585365853658534,NO
278,201593,Nikola Pekovic,29.0,2.0,31.0,0.9354838709677419,YES
279,202696,Nikola Vucevic,74.0,0.0,74.0,1.0,YES
280,202708,Norris Cole,25.0,50.0,75.0,0.3333333333333333,IN_BETWEEN
281,201564,O.J. Mayo,15.0,56.0,71.0,0.2112676056338028,IN_BETWEEN
282,201600,Omer Asik,76.0,0.0,76.0,1.0,YES
283,201956,Omri Casspi,19.0,48.0,67.0,0.2835820895522388,IN_BETWEEN
284,203490,Otto Porter Jr.,13.0,61.0,74.0,0.17567567567567569,NO
285,203798,PJ Hairston,2.0,43.0,45.0,0.044444444444444446,NO
286,200782,PJ Tucker,63.0,15.0,78.0,0.8076923076923077,YES
287,203143,Pablo Prigioni,3.0,64.0,67.0,0.04477611940298507,NO
288,201976,Patrick Beverley,55.0,1.0,56.0,0.9821428571428571,YES
289,203565,Patrick Christopher,1.0,3.0,4.0,0.25,IN_BETWEEN
290,202335,Patrick Patterson,4.0,77.0,81.0,0.04938271604938271,NO
291,2200,Pau Gasol,78.0,0.0,78.0,1.0,YES
292,200794,Paul Millsap,73.0,0.0,73.0,1.0,YES
293,1718,Paul Pierce,73.0,0.0,73.0,1.0,YES
294,203544,Pero Antic,3.0,60.0,63.0,0.047619047619047616,NO
295,203103,Perry Jones III,13.0,30.0,43.0,0.3023255813953488,IN_BETWEEN
296,203112,Quincy Acy,22.0,46.0,68.0,0.3235294117647059,IN_BETWEEN
297,202347,Quincy Pondexter,30.0,45.0,75.0,0.4,IN_BETWEEN
298,200765,Rajon Rondo,68.0,0.0,68.0,1.0,YES
299,201196,Ramon Sessions,10.0,54.0,64.0,0.15625,NO
300,200751,Randy Foye,21.0,29.0,50.0,0.42,IN_BETWEEN
301,2446,Rasual Butler,1.0,74.0,75.0,0.013333333333333334,NO
302,203492,Ray McCallum,30.0,38.0,68.0,0.4411764705882353,IN_BETWEEN
303,101109,Raymond Felton,3.0,26.0,29.0,0.10344827586206896,NO
304,203493,Reggie Bullock,2.0,34.0,36.0,0.05555555555555555,NO
305,2501,Reggie Evans,7.0,40.0,47.0,0.14893617021276595,NO
306,202704,Reggie Jackson,40.0,37.0,77.0,0.5194805194805194,IN_BETWEEN
307,2210,Richard Jefferson,18.0,56.0,74.0,0.24324324324324326,IN_BETWEEN
308,201937,Ricky Rubio,22.0,0.0,22.0,1.0,YES
309,203133,Robbie Hummel,4.0,41.0,45.0,0.08888888888888889,NO
310,203496,Robert Covington,49.0,21.0,70.0,0.7,IN_BETWEEN
311,203135,Robert Sacre,18.0,49.0,67.0,0.26865671641791045,IN_BETWEEN
312,201577,Robin Lopez,59.0,0.0,59.0,1.0,YES
313,203918,Rodney Hood,21.0,29.0,50.0,0.42,IN_BETWEEN
314,201155,Rodney Stuckey,36.0,35.0,71.0,0.5070422535211268,IN_BETWEEN
315,101179,Ronnie Price,20.0,23.0,43.0,0.46511627906976744,IN_BETWEEN
316,201579,Roy Hibbert,76.0,0.0,76.0,1.0,YES
317,200752,Rudy Gay,67.0,1.0,68.0,0.9852941176470589,YES
318,203497,Rudy Gobert,37.0,45.0,82.0,0.45121951219512196,IN_BETWEEN
319,201566,Russell Westbrook,67.0,0.0,67.0,1.0,YES
320,201583,Ryan Anderson,5.0,56.0,61.0,0.08196721311475409,NO
321,200797,Ryan Hollins,9.0,37.0,46.0,0.1956521739130435,NO
322,203527,Ryan Kelly,34.0,18.0,52.0,0.6538461538461539,IN_BETWEEN
